epoch,accuracy,loss,val_accuracy,val_loss
0,0.3847218453884125,1.325295090675354,0.394812673330307,1.2775154113769531
1,0.6465541124343872,0.9846440553665161,0.6455331444740295,0.9489431381225586
2,0.797121524810791,0.5829386711120605,0.7002881765365601,0.7930878400802612
3,0.8480486869812012,0.4111550748348236,0.7031700015068054,0.8023719191551208
4,0.8840298652648926,0.3278057873249054,0.6974063515663147,0.8270587921142578
5,0.9094935059547424,0.268616646528244,0.7002881765365601,0.868391752243042
6,0.9277608394622803,0.21833433210849762,0.6829971075057983,0.9512772560119629
7,0.9407694339752197,0.181996688246727,0.6829971075057983,0.964916467666626
8,0.9523941278457642,0.15733489394187927,0.6887608170509338,1.0310488939285278
9,0.9582064747810364,0.13756665587425232,0.6887608170509338,1.0804656744003296
10,0.9645723700523376,0.12138858437538147,0.6772334575653076,1.1338987350463867
11,0.9684472680091858,0.10960916429758072,0.6829971075057983,1.2067856788635254
12,0.9706615209579468,0.10223537683486938,0.6858789920806885,1.2682684659957886
13,0.9709382653236389,0.09102977067232132,0.6685879230499268,1.2927002906799316
14,0.972875714302063,0.08461879193782806,0.6657060384750366,1.3150758743286133
15,0.973706066608429,0.0858079120516777,0.6685879230499268,1.3822576999664307
16,0.975643515586853,0.08295424282550812,0.6628242135047913,1.389272689819336
17,0.975643515586853,0.07520130276679993,0.6887608170509338,1.4235881567001343
18,0.973429262638092,0.07749190181493759,0.680115282535553,1.4154019355773926
19,0.9767506122589111,0.07352185249328613,0.6743515729904175,1.5064681768417358
20,0.976473867893219,0.06603556126356125,0.6772334575653076,1.456186294555664
21,0.977027416229248,0.06104067340493202,0.6887608170509338,1.5100756883621216
22,0.9784113168716431,0.06359224021434784,0.6887608170509338,1.540071964263916
23,0.9797951579093933,0.06040201336145401,0.6772334575653076,1.531585931777954
24,0.9767506122589111,0.06117065250873566,0.6685879230499268,1.5461488962173462
